City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la passe,45.5549,-0.8967,305.28,77,2,5.38,FR,1722447794
84,nagqu,31.5,92.0,276.27,55,34,1.07,CN,1722447796
85,al hamra',32.4406,36.1512,299.72,51,0,3.96,JO,1722447797
86,betio village,1.358,172.9211,300.17,75,4,4.0,KI,1722447798
87,heroica matamoros,25.8833,-97.5,306.4,64,40,7.2,MX,1722447799
88,smithers,54.7804,-127.1743,288.33,82,75,1.03,CA,1722447800
89,miastko,54.0028,16.9826,291.44,71,69,2.45,PL,1722447801
90,jinghong,21.991,100.7341,295.23,100,100,0.6,CN,1722447802
91,egilsstadir,65.2653,-14.3948,286.1,76,75,4.63,IS,1722447805
92,al ghayzah,16.2079,52.176,298.96,85,95,7.56,YE,1722447807
93,labuan,5.2767,115.2417,300.35,89,20,0.0,MY,1722447808
94,zhangatas,43.5667,69.75,302.07,23,0,8.62,KZ,1722447809
95,aasiaat,68.7098,-52.8699,275.23,91,92,1.91,GL,1722447810
96,machico,32.7,-16.7667,298.5,74,40,4.63,PT,1722447811
97,san francisco de la paz,14.9,-86.2,305.99,55,100,1.48,HN,1722447813
98,skiathos,39.1623,23.4909,301.24,57,0,1.54,GR,1722447814
99,west island,-12.1568,96.8225,300.14,69,75,4.63,CC,1722447667
100,labrador city,52.9463,-66.9114,300.1,47,75,5.14,CA,1722447817
101,ilulissat,69.2167,-51.1,279.16,81,40,2.06,GL,1722447818
102,newman,37.3138,-121.0208,302.72,27,1,0.98,US,1722447819
103,ulladulla,-35.35,150.4667,275.24,73,96,5.16,AU,1722447820
104,moissala,8.3404,17.7663,296.62,94,100,1.98,TD,1722447821
105,ajdovscina,45.886,13.9095,302.52,80,0,0.34,SI,1722447823
106,iskateley,67.6803,53.1512,291.98,70,64,4.38,RU,1722447824
107,york,40.1254,-77.0,305.83,53,40,3.6,US,1722447661
108,georgetown,5.4112,100.3354,302.11,83,20,2.06,MY,1722447826
109,mount isa,-20.7333,139.5,285.02,30,0,3.09,AU,1722447827
110,donaghadee,54.6333,-5.5333,292.55,77,98,0.15,GB,1722447828
111,bredasdorp,-34.5322,20.0403,281.07,84,0,2.23,ZA,1722447656
112,suchitoto,13.9381,-89.0278,304.67,62,92,0.82,SV,1722447830
113,mosjoen,65.836,13.1908,288.44,72,75,1.54,NO,1722447832
114,isafjordur,66.0755,-23.124,290.17,48,40,6.69,IS,1722447630
115,stanley,54.868,-1.6985,295.1,72,0,3.09,GB,1722447628
116,tarauaca,-8.1614,-70.7656,310.92,18,0,0.95,BR,1722447836
117,hami,42.8,93.45,302.79,26,96,11.09,CN,1722447837
118,tadine,-21.55,167.8833,292.58,79,100,4.93,NC,1722447838
119,kingston,17.997,-76.7936,307.68,55,40,9.77,JM,1722447050
120,sanctuary point,-35.1114,150.629,283.26,72,100,5.21,AU,1722447841
121,college,64.8569,-147.8028,284.14,85,100,4.63,US,1722447634
122,hamilton,39.1834,-84.5333,304.66,74,32,0.45,US,1722447843
123,north bend,43.4065,-124.2243,293.63,75,47,4.51,US,1722447768
124,kapuskasing,49.4169,-82.4331,300.2,57,20,1.54,CA,1722447595
125,barcelos,41.5388,-8.6151,298.66,75,1,2.89,PT,1722447708
126,qaqortoq,60.7167,-46.0333,285.21,43,53,2.38,GL,1722447847
127,tver,56.8619,35.8931,287.56,95,63,3.36,RU,1722447848
128,sao miguel do tapuio,-5.5036,-41.3233,309.79,15,1,4.07,BR,1722447850
129,murehwa,-17.6432,31.784,289.1,43,5,4.35,ZW,1722447851
130,suva,-18.1416,178.4415,293.86,100,75,1.54,FJ,1722447852
131,udachny,66.4167,112.4,278.78,76,52,1.3,RU,1722447853
132,fada,7.25,4.0667,296.39,94,81,1.58,NG,1722447854
133,broome,42.2506,-75.833,300.48,68,86,4.47,US,1722447855
134,namibe,-15.1961,12.1522,290.28,88,21,4.35,AO,1722447856
135,selfoss,63.9331,-20.9971,285.74,88,100,7.71,IS,1722447857
136,luganville,-15.5333,167.1667,296.51,83,80,3.62,VU,1722447858
137,newnham,-41.3833,147.1333,274.74,93,100,2.57,AU,1722447860
138,ixtapa,20.7,-105.2,303.83,70,75,1.79,MX,1722447767
139,aswan,24.0934,32.907,313.76,11,0,4.12,EG,1722447862
140,ust-nera,64.5667,143.2,276.0,94,99,3.94,RU,1722447863
141,port saint john's,-31.6229,29.5448,288.05,59,0,1.89,ZA,1722447864
142,saipan,15.1355,145.701,301.54,83,75,3.09,MP,1722447865
143,punta arenas,-53.15,-70.9167,277.21,93,100,9.77,CL,1722447866
144,kurchum,48.5722,83.6542,293.92,49,0,4.17,KZ,1722447867
145,illapel,-31.6308,-71.1653,289.14,57,100,1.52,CL,1722447869
146,vorgashor,67.5833,63.95,290.15,84,100,1.82,RU,1722447870
147,broken hill,-31.95,141.4333,279.59,54,0,3.13,AU,1722447871
148,klyavlino,54.2649,52.0267,291.64,56,53,1.34,RU,1722447872
149,keta,5.9179,0.9879,300.27,81,92,6.5,GH,1722447873
150,shpola,49.0069,31.3947,294.58,38,2,3.97,UA,1722447874
151,vernon,50.2581,-119.2691,300.16,44,0,0.51,CA,1722447875
152,sidney,-33.8679,151.2073,283.55,74,20,6.69,AU,1722447601
153,lebu,-37.6167,-73.65,284.74,89,100,12.91,CL,1722447877
154,at taj,24.2049,23.2857,306.35,15,9,5.02,LY,1722447879
155,gavrilov-yam,57.3018,39.8533,289.06,89,93,1.55,RU,1722447880
156,tamanrasset,22.785,5.5228,306.1,16,0,4.12,DZ,1722447881
157,boende,-0.2167,20.8667,300.39,57,98,0.48,CD,1722447882
158,sisimiut,66.9395,-53.6735,281.13,68,30,7.61,GL,1722447883
159,itoman,26.1247,127.6694,302.64,91,40,4.12,JP,1722447884
160,bamboo flat,11.7,92.7167,301.2,89,40,2.57,IN,1722447886
161,makokou,0.5738,12.8642,298.41,56,62,1.5,GA,1722447887
162,balkashino,52.5167,68.7667,294.94,54,63,2.51,KZ,1722447888
163,cabo san lucas,22.8909,-109.9124,306.27,62,0,5.14,MX,1722447889
164,nadi,-17.8,177.4167,293.15,83,20,2.57,FJ,1722447639
165,paradip garh,20.3167,86.6167,300.66,88,100,3.68,IN,1722447891
166,la'ie,21.6477,-157.9253,298.4,77,86,2.24,US,1722447892
167,manta,-0.95,-80.7333,301.03,69,20,4.12,EC,1722447893
168,mount pearl,47.5166,-52.7813,297.84,87,75,9.26,CA,1722447895
169,kertih,4.5141,103.4483,299.16,100,100,0.0,MY,1722447896
170,cestos city,5.46,-9.5828,298.37,82,91,6.71,LR,1722447897
171,khandyga,62.6667,135.6,280.79,86,98,1.88,RU,1722447898
172,necochea,-38.5473,-58.7368,288.69,55,77,4.96,AR,1722447899
173,tucumcari,35.1717,-103.725,312.01,26,0,4.12,US,1722447900
174,talnakh,69.4865,88.3972,291.95,42,5,2.03,RU,1722447901
175,sucre,-19.0333,-65.2627,293.03,36,4,5.22,BO,1722447902
176,caroline springs,-37.7412,144.7363,276.67,92,0,2.57,AU,1722447904
177,fort saskatchewan,53.7168,-113.2187,301.31,47,43,1.03,CA,1722447642
